,source,target,total,count,source_num,target_num
113,petrochina,schlumberger,petrochina schlumberger,116,870,272
104,schlumberger,petrochina,schlumberger petrochina,116,272,870
3128,kuwait oil company,schlumberger,kuwait oil company schlumberger,89,42,272
3129,schlumberger,kuwait oil company,schlumberger kuwait oil company,89,272,42
5128,university of wisconsin-madison,lawrence berkeley national laboratory,university of wisconsin-madison lawrence berkeley national laboratory,71,159,673
5118,lawrence berkeley national laboratory,university of wisconsin-madison,lawrence berkeley national laboratory university of wisconsin-madison,71,673,159
7358,west virginia university,schlumberger,west virginia university schlumberger,67,590,272
7386,schlumberger,west virginia university,schlumberger west virginia university,67,272,590
7391,schlumberger,northeast natural energy llc,schlumberger northeast natural energy llc,65,272,727
7424,northeast natural energy llc,schlumberger,northeast natural energy llc schlumberger,65,727,272
2242,halliburton,koc,halliburton koc,64,614,616
2238,koc,halliburton,koc halliburton,64,616,614
7967,schlumberger,national energy technology laboratory,schlumberger national energy technology laboratory,55,272,475
8121,national energy technology laboratory,schlumberger,national energy technology laboratory schlumberger,55,475,272
5114,lawrence berkeley national laboratory,idaho national laboratory,lawrence berkeley national laboratory idaho national laboratory,45,673,894
5097,idaho national laboratory,lawrence berkeley national laboratory,idaho national laboratory lawrence berkeley national laboratory,45,894,673
1560,schlumberger,rosneft,schlumberger rosneft,36,272,21
1994,schlumberger,ooo gazprom geologorazvedka,schlumberger ooo gazprom geologorazvedka,36,272,644
1596,rosneft,schlumberger,rosneft schlumberger,36,21,272
1976,ooo gazprom geologorazvedka,schlumberger,ooo gazprom geologorazvedka schlumberger,36,644,272
1089,schlumberger,repsol e&p peru,schlumberger repsol e&p peru,35,272,572
1054,repsol e&p peru,schlumberger,repsol e&p peru schlumberger,35,572,272
1456,daqing oilfield company ltd.,baker hughes,daqing oilfield company ltd. baker hughes,32,322,439
1432,baker hughes,daqing oilfield company ltd.,baker hughes daqing oilfield company ltd.,32,439,322
7420,northeast natural energy llc,west virginia university,northeast natural energy llc west virginia university,32,727,590
7362,west virginia university,northeast natural energy llc,west virginia university northeast natural energy llc,32,590,727
1824,novatek,weatherford,novatek weatherford,30,398,473
2802,adnoc e&p,schlumberger,adnoc e&p schlumberger,30,583,272
2790,schlumberger,adnoc e&p,schlumberger adnoc e&p,30,272,583
1778,weatherford,novatek,weatherford novatek,30,473,398
5359,china university of petroleum-beijing,state key laboratory of petroleum resources and engineering,china university of petroleum-beijing state key laboratory of petroleum resources and engineering,28,434,287
5374,state key laboratory of petroleum resources and engineering,china university of petroleum-beijing,state key laboratory of petroleum resources and engineering china university of petroleum-beijing,28,287,434
5492,chongqing university,institute of rock and soil mechanics,chongqing university institute of rock and soil mechanics,28,802,821
5575,lawrence berkeley national laboratory,sandia national laboratories,lawrence berkeley national laboratory sandia national laboratories,28,673,149
5464,institute of rock and soil mechanics,chongqing university,institute of rock and soil mechanics chongqing university,28,821,802
5563,sandia national laboratories,lawrence berkeley national laboratory,sandia national laboratories lawrence berkeley national laboratory,28,149,673
6731,los alamos national laboratory,lawrence berkeley national laboratory,los alamos national laboratory lawrence berkeley national laboratory,26,150,673
6032,lawrence berkeley national laboratory,lawrence livermore national laboratory,lawrence berkeley national laboratory lawrence livermore national laboratory,26,673,866
6034,lawrence berkeley national laboratory,los alamos national laboratory,lawrence berkeley national laboratory los alamos national laboratory,26,673,150
6671,lawrence livermore national laboratory,lawrence berkeley national laboratory,lawrence livermore national laboratory lawrence berkeley national laboratory,26,866,673
7789,west virginia university,national energy technology laboratory,west virginia university national energy technology laboratory,25,590,475
8112,national energy technology laboratory,west virginia university,national energy technology laboratory west virginia university,25,475,590
2272,zadco,schlumberger,zadco schlumberger,24,86,272
5164,china university of petroleum (east china),research institute of petroleum exploration and development,china university of petroleum (east china) research institute of petroleum exploration and development,24,190,302
5179,research institute of petroleum exploration and development,china university of petroleum (east china),research institute of petroleum exploration and development china university of petroleum (east china),24,302,190
2296,schlumberger,zadco,schlumberger zadco,24,272,86
581,pt pertamina hulu energi wmo,lloyd's register,pt pertamina hulu energi wmo lloyd's register,21,544,164
230,texas tech university,university of houston,texas tech university university of houston,21,360,491
560,lloyd's register,pt pertamina hulu energi wmo,lloyd's register pt pertamina hulu energi wmo,21,164,544
