"","id_df","title_df","author_df","abstract","keywords"
"1","JFES-2014-R","Reliability Indication of Quantitative Cement Evaluation With LWD Sonic","Watanabe, Shin'ichi, Schlumberger K.K.| Izuhara, Wataru, Schlumberger K.K.| Pistre, Vivian, Schlumberger| Yamamoto, Hiroaki, Schlumberger K.K.","|Abstract 
There has been a growing interest in measuring the cement bond quality quantitatively with LWD sonic tools. Recent studies have shown that quantitative cement evaluation with an LWD tool is feasible up to a certain bond index depending on conditions. In this paper we present several methods developed to identify the reliability of bond index computation with the current LWD sonic tools. The methods utilize information on the amplitude, transit time, and attenuation of the sonic waveforms acquired along a receiver array, as well as extensive modeling using the finite-difference method. The theoretical studies have been validated with real data recorded during some field test experiments that are also presented. The answer product based on these methods provides bond index values within the measurement range in conjunction with various quality control plots to provide confidence to the user on the validity of the answer.|","Document Type
                        Conference Paper
                        Language
                        English
                        Copyright
                        2014. Society of Petrophysicists and Well Log Analysts"
"2","JFES-2014-Q","Borehole Instability Analysis for IODP Expedition 338 of the NanTroSEIZE Project, Nankai Trough Subduction Zone","Wu, Hung-Yu, Japan Agency for Marine-Earth Science and Technology| Kinoshita, Masataka, Japan Agency for Marine-Earth Science and Technology| Saito, Saneatsu, Japan Agency for Marine-Earth Science and Technology| Lin, Weiren, Japan Agency for Marine-Earth Science and Technology| Thu, Moe Kyaw, Japan Agency for Marine-Earth Science and Technology","|Abstract 
Wellbore instability is a major challenge for the engineer evaluating the borehole and formation conditions during drilling. Instability issue is especially important to understand in areas with high stress variations, significant structure anisotropy, or pre-existing fractures system. Borehole (in)stability is influenced by rock strength, structural properties, and the interaction with far and near field principal stresses. During drilling, the borehole conditions also impact borehole integrity. Factors that we can measure in the borehole during with logging while drilling (LWD) to understand these conditions include the mud weight, mud loss, ROP (Rate of Penetration), RPM (Rotation Per Minute), WOB (Weight on Bit), and TORQ (Power swivel torque value). 
We conducted borehole instability analysis for Site C0002A and C0002F of the Nankai Trough transect based on riser and riserless drilling during IODP Expedition 338. The borehole shape, determined from LWD resistivity images, indicated the most of drilling occurred in low stress level environments, however in a few instances the bottom hole assembly became stuck. We used our geomechanical model to evaluate the required drilling parameters. Which related to estimate rock strength and measure physical properties. Based on our analysis, we interpret that borehole instability during IODP Expedition 338 may have been caused by weak bedding plane and fluid overpressure state. Furthermore we suggested the optimized drilling processes for the future deep drilling based on the simulation results from this model.|","Document Type
                        Conference Paper
                        Language
                        English
                        Copyright
                        2014. Society of Petrophysicists and Well Log Analysts"
"3","JFES-2014-T","Discovering Overlooked Pay in Complex Sand Reservoirs: LWD-Based Petrophysical Analysis -An Alaskan Example","Hupp, Douglas, Schlumberger| Blyth, Matthew, Schlumberger| Girbacea, Radu, Hilcorp Alaska LLC","|Abstract 
In several locations in the world the petrophysical analysis of hydrocarbon reservoirs is complicated by the presence of sands derived from volcanic sources.  The interpretation of the fluids present in such rock is problematic in many ways as is the identification of potential reservoirs themselves.  One particular example is the Cook Inlet in Alaska.  This is a fluvial depositional system with sands, shales and silt, rich in minerals with a volcanic origin.  There are also many coal layers present and these are the source rock for these mainly gas reservoirs.  Several fields have clearly identifiable gas and oil-bearing zones and these have been well produced.  Operators are now actively searching for those more complex hydrocarbon zones that may have been overlooked in the past and also for information to help to update the reservoir models based on which zones still have gas present and to identify fault barriers in currently producing zones. 
The presence of sand reservoirs containing a high percentage of volcanic minerals and lithoclasts causes problems with standard gamma ray interpretation. Also, low and variable salinity result in Rw variation that are not predictable and wet zones that may have anomalously high resistivity. There are additional problems with the interpretation of density/neutron information to identify gas pay as the presence of volcanic minerals will tend to inhibit the occurrence of the neutron-density cross-over.  The use of compressional and shear sonic data in combination with standard log interpretation is key to understanding these zones.  In the studied well the presence of the coal layers and the associated poor wellbore and logging conditions, along with the wellbore deviation, meant that running wireline-conveyed sonic logging tools was not the preferred option.  Instead the full logging suite was acquired using logging-while drilling (LWD) technology.  Recently developed multi-pole LWD sonic tools are now able to deliver consistent shear data across a wide range of formation travel times, along with high-quality compressional data. The examples shown demonstrate the problems with interpreting fluid content without the sonic data and the conclusions that would be drawn in this case. The addition of compressional and shear data is shown to improve the interpretation and to identify potential reservoirs that would otherwise have been overlooked.  The sonic data are also shown to provide information on previous production zones that are now depleted and swept by water, thus helping in understanding regional connectivity developing reservoir production strategies.|","Document Type
                        Conference Paper
                        Language
                        English
                        Copyright
                        2014. Society of Petrophysicists and Well Log Analysts"
"4","18094-MS","Improved Methods for Assessing In Situ Stress in Unconventional Shale Reservoirs in Tectonically Stressed Settings","Glover, Kenneth, Trican Geological Solutions| Hawkes, Robert Vincent, Trican Well Service| Cui, Albert, Trican Geological Solutions","|Abstract 
Shale reservoirs are being actively exploited in several tectonically stressed regions around the world. These tectonic settings often mean that the development of these fields requires an adequate quantification of the in situ principle stress magnitudes and their orientation. Achieving this goal can be complicated by the heterogeneous, inelastic, and/or anisotropic mechanical properties of these shales and the associated vertical and lateral variation in pore pressure and stress through the target zones and bounding intervals. For these reasons, the commonly used techniques of determining stress state from mini-frac type data and using this data to calibrate log derived stress profiles may be misleading unless certain additional factors are measured and considered. We present some case study workflow examples from productive shales in tectonically stressed settings where a more rigorous analysis of the injection test data and of the shale petrophysical properties has allowed an improved, more accurate assessment of stress state. In particular, utilizing well testing theory in the analysis of mini-frac data has given us additional understanding of hydraulic fracture behavior in some tectonically stressed shales. Horizontal fracture growth through shear activation of bedding-parallel fabric can be a preferred fracture propagation mechanism in these shales and this behavior can be diagnosed by this improved workflow. Anisotropic mechanical fabric of these shales can be measured in core more regularly and more efficiently due to recent instrumentation advances. These improvements allow for a more accurate distinction between the impact of rock fabric anisotropy and of stress induced acoustic anisotropy on modern sonic logging tool response.|","shale, anisotropy, geomechanics, tectonic stress, minifrac"
"5","18104-MS","Case Study: A Challenging Large-Scale Fracturing In Sichuan Basin","Yuan, Feng, Weatherford| Wang, Kai, U. of Oklahoma| Blanton, Eric, Weatherford| Zeng, Winston, Weatherford","|Abstract 
The success of commercial production of shale gas/oil in North America encourages other countries, such as China to replicate the U.S. shale gas revolution. The Sichuan Basin located in southwest of China is one of the largest proven shale formations with complex tectonics compared with US shale plays. The shale has natural fractures and local Earth stress is complex. The high formation stresses make initiating hydraulic fractures difficult. Therefore, very high surface fracturing pressure and high horsepower is needed to perform large scale fracturing jobs and initiate hydraulic fractures. 
There are two types of shale formations in the Sichuan Basin, one is a lacustrine formation that is not a common formation globally to produce hydrocarbons and the other a marine formation. A couple of appraisal wells have been successfully drilled and fractured with commercial gas production rates in both formations. One horizontal shale gas appraisal well in the lacustrine formation was drilled with 4,102 meters (13,454ft) in total measured depth (MD), 3,088 meters (10,129ft) in true vertical depth (TVD) and 815meters (2,673 ft) in horizontal section. The 10-stage ball-activated sleeves and open hole packers system were chosen as the multistage fracturing completion design. Based upon the research and analysis of this formation, the largest ever shale gas frac operation in China was completed in January, 2013. A total of 265.7m3 (990,000lbs) of proppant and 8625.5m3 (2,278,616 gals) of frac fluid were pumped into the target formation with a maximum surface fracturing pressure of 61MPa (8,847psi) and a pump rate of 12.4 m3/min (77.9 bbls/min). This frac operation set 2 new records in China for the proppant tonnage and the frac fluid volume.  
This paper will provide a comprehensive view of this successful fracturing operation in the lacustrine formation including formation evaluation, fracturing design and fracturing completion strategy such as determining the optimal number of frac stages per lateral, proppant type and mesh size, volumes of proppant pumped on each stage, fracture completion tool, fracturing fluid type, and injection rate.  The success of the fracturing job in this well marks a new breakthrough in gas field exploration in the Sichuan lacustrine formation and provides a guideline for future shale gas frac operations in similar formations or blocks.  
Introduction 
Due to rapid development in the last few decades, China is one of the most energy hungry countries in the world. To date, China is still heavily reliant on coal for energy which severely affects pollution, emissions and efficiency. To address these problems, the government has become more and more aware of the need to change energy consumption composition, i.e. reduce coal usage and increase use of natural gas. What is important is that China has great potential for natural gas production, especially for shale gas.    
In China, compared with marine formations from which a large amount of oil and gas has been produced, very limited attention has been paid to lacustrine formations, such as the Xujiahe formation in Sichuan Basin where there exists good conditions for potential commercial reservoirs. As the shale gas industry in North America has successfully developed and been leading the world, learning from North America is a good choice to accelerate shale gas development for China. Based on these considerations, the well in this case study was intended to be drilled as one of appraisal wells to find out the commercial production potential of the Xujiahe formation and execute a multistage hydraulic fracturing based on applying US technology and experience. |","multistage, FRACTURING"
"6","17964-MS","3D Numerical Dynamic Geomechanical Analyses of Compaction, Subsidence and Fault Reactivation Throughout Multiple Producing and Injecting Reservoirs of a Sarawak Offshore Oil and Gas Field, Malaysia","Fang, Zhi, Baker Hughes| Younessi, Ahmadreza, Baker Hughes| Hon, Vai Yee, PETRONAS| Refli, Ikhwan, PETRONAS| M. Piah, Mohamad Faizzudin, PETRONAS","|Abstract 
A thorough 3D finite-element (FE) geomechanical study was over undertaken for an oil and gas field offshore Sarawak, Malaysia, to assist the development management. The field comprises eight major reservoirs with three of them planned for water injection to improve recovery. The historical well drilling data, wireline logs, production data, field tests and newly obtained laboratory test data provided inputs for deriving a wellbore-based 1D geomechanical model for the field. The 1D model was calibrated to well drilling observations before being up-scaled and populated in a 3D geomechanical model for the entire field. The model was implemented in an FE simulator to dynamically analyze reservoir compactions, platform site subsidence, fault reactivation potential and cap rock breaches that might be induced by reservoir depletion and injection in the full life cycle planning of the field management. 
The results showed a maximum subsidence of 0.72 m above the shallowest depleting reservoir and a subsidence of approximately 0.62 m at the seabed in year 2032. Injection slightly reverses the subsidence induced by depletion and the subsidence at the centre of the seabed is approximately 0.58 m in year 2050. The corresponding subsidence at the platform sites reaches 0.58 m in year 2032 and reduces to 0.54 m in year 2050. Depletion tends to reduce fault reactivation potential within the depleting and close underlying intervals, but enhances fault slip likelihood near the upper bounding zones. Faults segments bounding the deepest producing reservoir, which contains the most depletion, is predicted to have the highest potential for fault shearing in the late stages of production. Injection reverses the trend of fault reactivationpotential. There are no caprock integrity issues with the three main injection reservoirs for the entire field life. 
Introduction 
The study field is in offshore Sarawak, Malaysia and truncated by two sets of major faults with one set (Alpha) in the south and the other (Beta and Gamma) in the north of the field.  There are dozens of hydrocarbon-bearing zones separately deposited in the upper to lower coastal plain environments of interbedded sandstones, shales and siltstones. The shallower zones comprise gas reservoirs; intermediate reservoirs exhibit small oil rims; and deep reservoirs show gas condensate. Eight reservoirs, labelled as R1, R2, … and R8, have been either in production, or in water injection, or within future production consideration. Fig. 1 shows the plan and cross-section views of the field structure. 
After the field discovery in 1967, production commenced in 1972 from three major reservoirs: R4, R5 and R6, with R6 started water injection since 1994 follow by R4 and R5- in 2017. In addition, the other 5 reservoirs, including a deeper overpressured pure gas reservoir, R8, will begin production in 2017. Thereafter, depletion and recharge of pressure is expected from multiple reservoirs undergoing either production or injection. 
Pressure depletion from production or pressure recharge because of injection induces stress changes in the depleting/injecting reservoirs and their bounding formations. Consequently, the stress changes in multiple reservoirs and bounding zones can induce various geomechanical problems, e.g., wellbore drilling instability, sand production, reservoir compaction, overburden subsidence, fault reactivation and caprock fracturing. Those geomechanical issues can impact well planning, platform facilitating and production management for future field development.|","depletion, injection, compaction, subsidence, 3D dynamic modelling, fault reactivation, Geomechanics, Enhanced oil recovery"
"7","18226-MS","Wellbore Instability Analysis for Highly Fractured Carbonate Gas Reservoir from Geomechanics Prospective, Saudi Arabia Case Study","Al-Nutaifi, Abdulrahman Muhammed, Saudi Aramco PE&D| Abdulraheem, Abdulazeez, King Fahd U. of Petroleum & Minerals| Khan, Khaqan, Saudi Aramco PE&D","|Abstract 
A major challenge facing the oil and gas drilling operations is mitigating the encountered wellbore instability issues. Those can vary from loss circulations up to having stuck pipes or tools that may jeopardize well integrity and potentially lead to total loss of wells and assets. These problematic situations are even much more complicated in fractured reservoir environments where predicting the fracture density is important.  Analyzing such problems is critical for companies especially in developing offshore fields where one day lost time is in hundreds of thousands of dollars. The field of rock mechanics emerged to connect those phenomena to reservoir rock properties and stress profiles. Coupling this with an intensive analysis of drilling parameters, logging, core testing and other existing wells data builds a work frame that helps in understanding the reasons behind wellbore failures and providing solutions to them. The field under investigation is a highly geo-pressured offshore gas field. The field development called for drilling vertical and deviated wells. During the field increment sever loss circulation were encountered that resulted in lost drilling times estimated in millions of US dollars with rig cost up $ 200,000/Day. Other drilling failures includes, stuck drill pipe and difficulties with logging response and log interpretation. The objective of this study is to investigate the wellbore instability during drilling operations as function of rock properties, in-situ earth stress and drilling parameters. Emphasis on the role of natural fractures density will be highlighted and included in modeling inputs as well as characterizing its density across the field. During the course of the study, existing field’s and drilled wells available data will be analyzed and a simulation models will be utilized to simulate the stress profiles in the field. Based on the results, the factors behind the instability issues in the field will be identified and recommendations will be made for future wells drilling programs.|","Gas, Fractured, Wellbore Instabilities, Rock Mechanics, Offshore"
"8","17807-MS","Integrated Formation Evaluation Delivers an Optimum Exploitation Strategy in a Tight Sand Play, Offshore China","Shi, R, CNOOC| Wang, J, CNOOC| Zhang, Guo Dong, CNOOC| Cai, J, CNOOC| Tellapaneni, Prasanna Kumar, Schlumberger| Xian, Chenggang, Schlumberger| Chen, Jichao, Schlumberger| Yu, Y, Schlumberger","|Abstract 
With increasing focus on exploration in tight and low-permeability environs, formation evaluation today has become more challenging. Integrating all measurements and understanding and evaluating uncertainties are critical for an effective evaluation workflow. Such a workflow should deliver the productivity and completion strategy for an effective exploitation of reserves. The field under study is an exploratory field located in the East China Sea, and the play is an anticline along a north-south axis. The main zone of interest is in a giant sandstone formation with very low porosity. Since this is a potentially large accumulation, it was necessary to produce gas to surface to confirm the discovery and book reserves. 
In this study, an effective Reservoir Quality (RQ), Completion Quality (CQ) workflow is developed and executed to address the formation evaluation objectives in challenging environments. Integrating core measurements with petrophysical evaluation leads to an effective estimate of the petro physical properties and a quantitative estimate of the uncertainties involved. These uncertainties are then taken forward into a reservoir model to estimate the productivity from these sands. Geomechanical analysis is done to evaluate various completion options including hydraulic fracturing and an estimate of the post-fracturing productivity is evaluated for various fracturing scenarios. With this evaluation, an informed decision on the best way to exploit reserves was made. We present this study as an example of how various formation evaluation measurements can be integrated into a well deliverability workflow in a tight gas reservoir. 
Introduction 
The East China shelf basin offshore China is shown in Fig. 1. Although exploration has been ongoing in this basin since the early 1980s with some discoveries, mainly in the Chunxiao and Longjing structures (Jia and Ma 2000), given the size and complexity of the basin, exploration in this basin is still ongoing.|","uncertainity in formation evaluation, integrated formation evaluation"
"9","17839-MS","Real-Time Microseismic Mapping Helps Understanding Hydraulic Fracture Geometry, Drainage Patterns, and Oilfield Development Optimization: A Case Study in the Changqing Field","Lu, Hongjun, Changqing Oilfield Co., PetroChina| Wang, Chengwang, Changqing Oilfield Co., PetroChina| Yin, Qi, Changqing Oilfield Co., PetroChina| Bai, Xiaohu, Changqing Oilfield Co., PetroChina| Zheng, Guangjie, Pinnacle, a Halliburton Service| Traweek, Ryan, Pinnacle, a Halliburton Service| Salahudin, Sharifudin, Pinnacle, a Halliburton Service| Lin, Wei, Pinnacle, a Halliburton Service","|Abstract 
The Changqing field is one of the largest fields in China, yet it is characterized by low permeability, low initial pressure, and low reservoir quality. During the past few years, technological advancements within the oil industry, horizontal drilling, and hydraulic fracture stimulation have helped create a development boom in this field, with total production of barrel of oil equivalence (BOE) reaching 50 million tons in 2013. 
Located in the Ordos basin of China, the primary pay formation of the Changqing field is Triassic, which features a complicated sedimentary system. 72.8% of reservoirs in the Changqing field have permeability lower than 1.0 md. Although it was apparent that all of these wells would require fracture treatments to help achieve optimum production, it was difficult to identify a routine treatment design or fracturing strategy to extend to all of the reservoirs because the Changqing field has 19 oilfields and three gas fields stretching over five provinces. The sediment source of the pay formation varies in terms of direction and lithology, and all of the sedimentary systems vary from fan delta to braided stream delta systems. 
To maximize well production, it is necessary to analyze the differences among these fields and identify the most favorable fracture treatment design for each field. Microseismic mapping has proven to be a valuable technology for assessing and optimizing the fracture treatment by describing fracture geometry. This paper introduces a real-time microseismic mapping project conducted on a multistage fracture treatment in a specific tight sand reservoir of Changqing; during this project, a quantifying relationship between the fracture treatment parameters and stimulated reservoir volume (SRV) was realized, enabling stimulation optimization in this area. This paper details the microseismic mapping acquisition, hydraulic fracture symmetry, practical drainage pattern, evaluation of the fracture treatment parameters, and perforation strategy that impact fracture geometry and SRV as well as optimization in this particular tight sand reservoir. 
Introduction 
Located in northern middle China, the Ordos basin (Fig. 1) is the second largest depositional basin, covering an aerial extent of approximately 370,000 square kilometers, stretching across the Shaanxi, Gansu, Shanxi, Ningxia, and Inner Mongolia, with original oil in place (OOIP) of approximately 8.6 billion tons. The Ordos basin is a superimposed basin having experienced multiple tectonic movements. The stratigraphic fill of the Ordos basin is composed of numerous facies. These types vary between Carbonate Platform, Clastic sedimentary of Paleozoic, fluvial, delta, and lacustrine of Mesozoic; its total thickness is approximately 5000m. In the Ordos basin, hydrocarbon contribution formations of Triassic and Jurassic produce oil; whereas, Permo-Carboniferous and Ordovician produce gas. Across the entire board of the basin, oil reservoirs are distributed in the southern portion, while gas reservoirs are abundant in the northern part. Because of complex tectonics characteristics and low permeability, reaching its current total production of BOE of 50 million tons per year proved overwhelmingly difficult. Before the 1950s, it took 50 years to achieve production of 2,000 tons per year; it then took another 20 years to achieve production reaching 20,000 tons. Even up to the year 2000, production was only 7.5 million tons per year. In the last 10 years, as conventional sources of oil and gas have declined, operators have been driven to explore unconventional resources globally, and the Changqing field had made astonishing progress during this period.|","Microseismic Mapping, Tight Sand, Fracture Geometry"
"10","18113-MS","Unconventionals Meets Deepwater; Lower Completion Limited Entry Liner with Retrievable Ball Drop Diversion System applied in a Deepwater Brazil Carbonate Field","Fowler, Mark A, Shell| Gdanski, Rick D, Shell| Campbell, Patrick, Shell| Bode, Wouter, Shell| Baima, Joao M, Shell| Hensgens, Stephen, Shell","|Abstract 
In order to economically develop the Albian Carbonate Macae formation in the Campos Basin Deepwater Brazil an extended reach horizontal well is required.  Due to the tight nature (low permeability) of the rock, stimulation of the reservoir is required.  Completion designs and techniques for treating extended reach horizontal wells in deepwater are limited.   Most applications for these type wells in Deepwater are ineffective (high skin/low PI) and inefficient (trip/time intensive) affecting project economics.  A completion system was developed that allows for safe, effective and efficient stimulation and installation of such an extended reach horizontal well in Deepwater.  
This paper will describe the design, testing and execution of a unique Deepwater completion system that adapts a known multi-stage ball drop system used in onshore unconventional reservoirs, for example the US and Canada, to a known horizontal open hole sand control system to effectively matrix acidize a 2000 m horizontal open hole thru a Limited Entry Liner with  reservoir segmentation. The system uses a Retrievable Ball Drop Diversion System (RBDDS) consisting of multi-stage frac sleeves run on wash pipe.  The RBDDS is run inside a limited entry liner that is segmented into stages or intervals by openhole programmable interventionless packers (Mendes et al. 2014) all run in a single trip and with no pipe manipulation required while stimulating.  It furthermore leaves behind a robust lower completion system for the life of the field. 
This 2000 m lower completion system was successfully run in the Albian Carbonate reservoir and all stages treated with 15% HCl with minimal NPT, no harm to people or environment.  At the time of completion, this well was the longest horizontal reservoir section and longest step out well drilled and completed in Brazil.  This Limited Entry Liner System together with the RBDDS proved to be a very efficient, effective and deepwater friendly system. 
Introduction 
Low permeable deepwater carbonate reservoirs have created many challenges to produce economically.  The wells typically require extensive reservoir contact that has to be stimulated in order to achieve an acceptable Productivity Index, PI.  Field A, Albian Carbonate in the Campos basin offshore Brazil falls into this challenging category.  Effectively stimulating long horizontals has long been an industry challenge onshore and even more so in a deepwater environment.  With the advent of Unconventionals in the US and Canada the ability to stimulate long horizontals has generated a great deal of focus and effort over the last few years.  The high rate and multi-stage fracture stimulations done on these wells has resulted in the development of new industry techniques, notably using frac sleeves operated by dropping balls, and pumping down plugs and perforating guns to isolate and perforate each stage.  
This paper will review the concept selection process, detailed design work, testing, and implementation results of an extended reach horizontal well that utilizes onshore Unconventional ball drop technology adapted to a Deepwater setting to effectively stimulation a 2000 m long horizontal section.  The well and stimulation treatment was considered an apparaisal effort such that if the production from the well is suitable it will open up the full Albian Carbonate for further development.       |","Limited Entry, Extended reach Stimulation System, Deepwater Horizontal Completion system, Carbonate"
